time,MP2.5,temperature_2m,relative_humidity_2m
2016-03-15 09:00:00+00:00,15.0,17.801,97.50934
2016-03-15 10:00:00+00:00,11.0,18.151001,96.29433
2016-03-15 11:00:00+00:00,12.0,19.851,86.33215
2016-03-15 12:00:00+00:00,13.0,21.701,77.284546
2016-03-15 13:00:00+00:00,19.0,23.251,71.90615
2016-03-15 14:00:00+00:00,20.0,24.801,65.92777
2016-03-15 15:00:00+00:00,24.0,25.451,65.44518
2016-03-15 16:00:00+00:00,23.0,25.751,65.09978
2016-03-15 17:00:00+00:00,41.0,24.651001,67.78618
2016-03-15 18:00:00+00:00,36.0,23.801,74.060036
2016-03-15 19:00:00+00:00,39.0,23.951,72.93815
2016-03-15 20:00:00+00:00,22.0,23.151001,77.744995
2016-03-15 21:00:00+00:00,16.0,21.751,85.71079
2016-03-15 22:00:00+00:00,10.0,20.601,91.69151
2016-03-15 23:00:00+00:00,11.0,20.051,93.68416
2016-03-16 00:00:00+00:00,17.0,19.551,95.43496
2016-03-16 01:00:00+00:00,9.0,19.351,96.02695
2016-03-16 02:00:00+00:00,13.0,19.101,96.92551
2016-03-16 03:00:00+00:00,12.0,19.151001,96.02097
2016-03-16 04:00:00+00:00,11.0,19.101,96.01949
2016-03-16 05:00:00+00:00,22.0,19.051,96.01801
2016-03-16 06:00:00+00:00,16.0,18.901001,96.92088
2016-03-16 07:00:00+00:00,13.0,18.801,99.37693
2016-03-16 08:00:00+00:00,13.0,19.001,98.759155
2016-03-16 09:00:00+00:00,10.0,19.101,98.76008
2016-03-16 10:00:00+00:00,10.0,19.301,99.07021
2016-03-16 11:00:00+00:00,14.0,19.951,98.462135
2016-03-16 12:00:00+00:00,12.0,20.951,95.482216
2016-03-16 13:00:00+00:00,12.0,21.701,88.68644
2016-03-16 14:00:00+00:00,15.0,22.901001,81.17241
2016-03-16 15:00:00+00:00,11.0,23.001,81.94453
2016-03-16 16:00:00+00:00,18.0,23.151001,82.72788
2016-03-16 17:00:00+00:00,16.0,23.251,81.46923
2016-03-16 18:00:00+00:00,15.0,23.301,79.97401
2016-03-16 19:00:00+00:00,26.0,22.501,79.368034
2016-03-16 20:00:00+00:00,20.0,21.701,84.38024
2016-03-16 21:00:00+00:00,12.0,21.051,87.534805
2016-03-16 22:00:00+00:00,8.0,20.451,90.54521
2016-03-16 23:00:00+00:00,8.0,20.151001,92.23871
2016-03-17 00:00:00+00:00,8.0,19.851,93.3826
2016-03-17 01:00:00+00:00,11.0,19.601,94.25108
2016-03-17 02:00:00+00:00,9.0,19.351,95.42816
2016-03-17 03:00:00+00:00,5.0,19.001,96.62015
2016-03-17 04:00:00+00:00,8.0,18.851,96.91973
2016-03-17 05:00:00+00:00,9.0,18.701,97.83248
2016-03-17 06:00:00+00:00,15.0,18.751,97.83331
2016-03-17 07:00:00+00:00,10.0,18.551,97.83001
2016-03-17 08:00:00+00:00,11.0,18.201,97.824265
2016-03-17 09:00:00+00:00,16.0,18.001,98.12968
2016-03-17 10:00:00+00:00,18.0,18.451,97.21557
2016-03-17 11:00:00+00:00,10.0,20.051,89.10983
2016-03-17 12:00:00+00:00,15.0,21.601,82.80151
2016-03-17 13:00:00+00:00,13.0,22.201,79.32624
2016-03-17 14:00:00+00:00,16.0,23.001,81.437645
2016-03-17 15:00:00+00:00,18.0,23.851,80.79339
2016-03-17 16:00:00+00:00,23.0,24.801,76.32251
2016-03-17 17:00:00+00:00,25.0,25.551,70.54699
2016-03-17 18:00:00+00:00,15.0,24.801,69.75168
2016-03-17 19:00:00+00:00,18.0,22.501,84.99232
2016-03-17 20:00:00+00:00,18.0,22.101,87.086105
2016-03-17 21:00:00+00:00,17.0,21.201,88.922325
2016-03-17 22:00:00+00:00,14.0,20.451,93.41176
2016-03-17 23:00:00+00:00,14.0,20.151001,94.86325
2016-03-18 00:00:00+00:00,16.0,19.701,97.54481
2016-03-18 01:00:00+00:00,9.0,19.601,98.15219
2016-03-18 02:00:00+00:00,20.0,19.551,98.1515
2016-03-18 03:00:00+00:00,13.0,19.351,98.14871
2016-03-18 04:00:00+00:00,6.0,19.051,98.45164
2016-03-18 05:00:00+00:00,8.0,18.801,98.757256
2016-03-18 06:00:00+00:00,12.0,18.501,99.06454
2016-03-18 07:00:00+00:00,11.0,18.051,98.43984
2016-03-18 08:00:00+00:00,6.0,17.551,98.43388
2016-03-18 09:00:00+00:00,10.0,17.101,98.741066
2016-03-18 10:00:00+00:00,3.0,17.751,97.81684
2016-03-18 11:00:00+00:00,9.0,20.551,88.8706
2016-03-18 12:00:00+00:00,21.0,22.501,80.11522
2016-03-18 13:00:00+00:00,11.0,24.301,70.31412
2016-03-18 14:00:00+00:00,16.0,25.551,62.4563
2016-03-18 15:00:00+00:00,18.0,25.951,59.473972
2016-03-18 16:00:00+00:00,15.0,26.001,59.6736
2016-03-18 17:00:00+00:00,21.0,25.701,60.93555
2016-03-18 18:00:00+00:00,40.0,25.551,63.048344
2016-03-18 19:00:00+00:00,36.0,26.451,57.017475
2016-03-18 20:00:00+00:00,30.0,25.401001,64.61934
2016-03-18 21:00:00+00:00,24.0,23.601,77.3293
2016-03-18 22:00:00+00:00,20.0,22.251,86.830536
2016-03-18 23:00:00+00:00,21.0,21.401001,92.8818
2016-03-19 00:00:00+00:00,13.0,21.001,94.60244
2016-03-19 01:00:00+00:00,55.0,20.501,96.35899
2016-03-19 02:00:00+00:00,33.0,20.051,97.85445
2016-03-19 03:00:00+00:00,31.0,19.701,98.7657
2016-03-19 04:00:00+00:00,23.0,19.301,99.07021
2016-03-19 05:00:00+00:00,20.0,18.951,99.6884
2016-03-19 06:00:00+00:00,15.0,19.001,99.377884
2016-03-19 07:00:00+00:00,12.0,18.601,99.68756
2016-03-19 08:00:00+00:00,16.0,18.451,99.06417
2016-03-19 09:00:00+00:00,31.0,18.351,99.06345
2016-03-19 10:00:00+00:00,25.0,18.301,98.13393
